Group,Year,Month,State,Condition.Group,Condition,ICD10_codes,Age.Group,COVID.19.Deaths,Number.of.Mentions,Flag,TotalPopulation
By Year,2021,-1,South Dakota,Renal failure,Renal failure,N17-N19,75-84,45,49,NA,41230
By Year,2020,-1,South Dakota,Renal failure,Renal failure,N17-N19,85+,60,65,NA,20839
By Year,2021,-1,South Dakota,Renal failure,Renal failure,N17-N19,85+,32,33,NA,20271
By Year,2020,-1,South Dakota,Renal failure,Renal failure,N17-N19,All Ages,191,203,NA,NA
By Year,2021,-1,South Dakota,Renal failure,Renal failure,N17-N19,All Ages,182,194,NA,NA
By Year,2020,-1,South Dakota,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",0-24,0,0,NA,300887
By Year,2021,-1,South Dakota,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",0-24,0,0,NA,302910
By Year,2020,-1,South Dakota,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",25-34,0,0,NA,112608
By Year,2021,-1,South Dakota,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",25-34,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,113120
By Year,2020,-1,South Dakota,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",35-44,0,0,NA,108814
By Year,2021,-1,South Dakota,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",35-44,0,0,NA,111605
By Year,2020,-1,South Dakota,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",45-54,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,94352
By Year,2021,-1,South Dakota,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",45-54,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,94580
By Year,2020,-1,South Dakota,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",55-64,5,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,116668
By Year,2021,-1,South Dakota,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",55-64,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,115496
By Year,2020,-1,South Dakota,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",65-74,11,26,NA,92630
By Year,2021,-1,South Dakota,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",65-74,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,96952
By Year,2020,-1,South Dakota,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",75-84,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,41001
By Year,2021,-1,South Dakota,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",75-84,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,41230
By Year,2020,-1,South Dakota,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",85+,17,34,NA,20839
By Year,2021,-1,South Dakota,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",85+,11,24,NA,20271
By Year,2020,-1,South Dakota,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",All Ages,41,89,NA,NA
By Year,2021,-1,South Dakota,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",All Ages,20,42,NA,NA
By Year,2020,-1,South Dakota,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",0-24,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,300887
By Year,2021,-1,South Dakota,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",0-24,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,302910
By Year,2020,-1,South Dakota,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",25-34,5,17,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,112608
By Year,2021,-1,South Dakota,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",25-34,13,23,NA,113120
By Year,2020,-1,South Dakota,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",35-44,5,27,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,108814
By Year,2021,-1,South Dakota,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",35-44,17,26,NA,111605
By Year,2020,-1,South Dakota,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",45-54,36,79,NA,94352
By Year,2021,-1,South Dakota,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",45-54,40,81,NA,94580
By Year,2020,-1,South Dakota,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",55-64,90,167,NA,116668
By Year,2021,-1,South Dakota,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",55-64,98,215,NA,115496
By Year,2020,-1,South Dakota,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",65-74,179,326,NA,92630
By Year,2021,-1,South Dakota,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",65-74,166,304,NA,96952
By Year,2020,-1,South Dakota,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",75-84,236,371,NA,41001
By Year,2021,-1,South Dakota,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",75-84,137,254,NA,41230
By Year,2020,-1,South Dakota,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",85+,347,544,NA,20839
By Year,2021,-1,South Dakota,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",85+,141,230,NA,20271
By Year,2020,-1,South Dakota,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",All Ages,906,1535,NA,NA
By Year,2021,-1,South Dakota,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",All Ages,615,1138,NA,NA
By Year,2020,-1,South Dakota,COVID-19,COVID-19,U071,0-24,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,300887
By Year,2021,-1,South Dakota,COVID-19,COVID-19,U071,0-24,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,302910
By Year,2020,-1,South Dakota,COVID-19,COVID-19,U071,25-34,10,10,NA,112608
By Year,2021,-1,South Dakota,COVID-19,COVID-19,U071,25-34,15,15,NA,113120
By Year,2020,-1,South Dakota,COVID-19,COVID-19,U071,35-44,15,15,NA,108814
By Year,2021,-1,South Dakota,COVID-19,COVID-19,U071,35-44,34,34,NA,111605
By Year,2020,-1,South Dakota,COVID-19,COVID-19,U071,45-54,58,58,NA,94352
By Year,2021,-1,South Dakota,COVID-19,COVID-19,U071,45-54,73,73,NA,94580
By Year,2020,-1,South Dakota,COVID-19,COVID-19,U071,55-64,152,152,NA,116668
By Year,2021,-1,South Dakota,COVID-19,COVID-19,U071,55-64,149,149,NA,115496
By Year,2020,-1,South Dakota,COVID-19,COVID-19,U071,65-74,325,325,NA,92630
By Year,2021,-1,South Dakota,COVID-19,COVID-19,U071,65-74,254,254,NA,96952
By Year,2020,-1,South Dakota,COVID-19,COVID-19,U071,75-84,444,444,NA,41001
By Year,2021,-1,South Dakota,COVID-19,COVID-19,U071,75-84,219,219,NA,41230
By Year,2020,-1,South Dakota,COVID-19,COVID-19,U071,85+,709,709,NA,20839
By Year,2021,-1,South Dakota,COVID-19,COVID-19,U071,85+,238,238,NA,20271
By Year,2020,-1,South Dakota,COVID-19,COVID-19,U071,All Ages,1715,1715,NA,NA
By Year,2021,-1,South Dakota,COVID-19,COVID-19,U071,All Ages,987,987,NA,NA
By Year,2020,-1,Tennessee,Respiratory diseases,Influenza and pneumonia,J09-J18,0-24,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,2163510
By Year,2021,-1,Tennessee,Respiratory diseases,Influenza and pneumonia,J09-J18,0-24,24,24,NA,2165500
By Year,2020,-1,Tennessee,Respiratory diseases,Influenza and pneumonia,J09-J18,25-34,18,18,NA,950857
By Year,2021,-1,Tennessee,Respiratory diseases,Influenza and pneumonia,J09-J18,25-34,120,124,NA,959137
By Year,2020,-1,Tennessee,Respiratory diseases,Influenza and pneumonia,J09-J18,35-44,59,59,NA,867058
By Year,2021,-1,Tennessee,Respiratory diseases,Influenza and pneumonia,J09-J18,35-44,331,343,NA,877861
By Year,2020,-1,Tennessee,Respiratory diseases,Influenza and pneumonia,J09-J18,45-54,187,194,NA,875534
By Year,2021,-1,Tennessee,Respiratory diseases,Influenza and pneumonia,J09-J18,45-54,810,837,NA,868813
By Year,2020,-1,Tennessee,Respiratory diseases,Influenza and pneumonia,J09-J18,55-64,544,558,NA,907398
By Year,2021,-1,Tennessee,Respiratory diseases,Influenza and pneumonia,J09-J18,55-64,1439,1497,NA,907992
By Year,2020,-1,Tennessee,Respiratory diseases,Influenza and pneumonia,J09-J18,65-74,926,955,NA,700757
By Year,2021,-1,Tennessee,Respiratory diseases,Influenza and pneumonia,J09-J18,65-74,1910,1979,NA,722604
By Year,2020,-1,Tennessee,Respiratory diseases,Influenza and pneumonia,J09-J18,75-84,1109,1133,NA,340538
By Year,2021,-1,Tennessee,Respiratory diseases,Influenza and pneumonia,J09-J18,75-84,1676,1723,NA,346961
By Year,2020,-1,Tennessee,Respiratory diseases,Influenza and pneumonia,J09-J18,85+,918,931,NA,119967
By Year,2021,-1,Tennessee,Respiratory diseases,Influenza and pneumonia,J09-J18,85+,977,989,NA,119483
By Year,2020,-1,Tennessee,Respiratory diseases,Influenza and pneumonia,J09-J18,All Ages,3765,3852,NA,NA
By Year,2021,-1,Tennessee,Respiratory diseases,Influenza and pneumonia,J09-J18,All Ages,7287,7516,NA,NA
By Year,2020,-1,Tennessee,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,0-24,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,2163510
By Year,2021,-1,Tennessee,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,0-24,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,2165500
By Year,2020,-1,Tennessee,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,25-34,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,950857
By Year,2021,-1,Tennessee,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,25-34,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,959137
By Year,2020,-1,Tennessee,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,35-44,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,867058
By Year,2021,-1,Tennessee,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,35-44,20,20,NA,877861
By Year,2020,-1,Tennessee,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,45-54,19,19,NA,875534
By Year,2021,-1,Tennessee,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,45-54,55,57,NA,868813
By Year,2020,-1,Tennessee,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,55-64,75,78,NA,907398
By Year,2021,-1,Tennessee,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,55-64,221,234,NA,907992
By Year,2020,-1,Tennessee,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,65-74,195,206,NA,700757
By Year,2021,-1,Tennessee,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,65-74,343,367,NA,722604
By Year,2020,-1,Tennessee,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,75-84,279,290,NA,340538
By Year,2021,-1,Tennessee,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,75-84,325,343,NA,346961
By Year,2020,-1,Tennessee,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,85+,149,152,NA,119967
By Year,2021,-1,Tennessee,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,85+,162,169,NA,119483
By Year,2020,-1,Tennessee,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,All Ages,724,752,NA,NA
By Year,2021,-1,Tennessee,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,All Ages,1131,1195,NA,NA
By Year,2020,-1,Tennessee,Respiratory diseases,Adult respiratory distress syndrome,J80,0-24,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,2163510
By Year,2021,-1,Tennessee,Respiratory diseases,Adult respiratory distress syndrome,J80,0-24,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,2165500
By Year,2020,-1,Tennessee,Respiratory diseases,Adult respiratory distress syndrome,J80,25-34,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,950857
By Year,2021,-1,Tennessee,Respiratory diseases,Adult respiratory distress syndrome,J80,25-34,33,33,NA,959137
By Year,2020,-1,Tennessee,Respiratory diseases,Adult respiratory distress syndrome,J80,35-44,15,15,NA,867058
By Year,2021,-1,Tennessee,Respiratory diseases,Adult respiratory distress syndrome,J80,35-44,79,79,NA,877861
By Year,2020,-1,Tennessee,Respiratory diseases,Adult respiratory distress syndrome,J80,45-54,68,68,NA,875534
By Year,2021,-1,Tennessee,Respiratory diseases,Adult respiratory distress syndrome,J80,45-54,211,211,NA,868813
By Year,2020,-1,Tennessee,Respiratory diseases,Adult respiratory distress syndrome,J80,55-64,138,138,NA,907398
By Year,2021,-1,Tennessee,Respiratory diseases,Adult respiratory distress syndrome,J80,55-64,315,315,NA,907992
By Year,2020,-1,Tennessee,Respiratory diseases,Adult respiratory distress syndrome,J80,65-74,186,186,NA,700757
By Year,2021,-1,Tennessee,Respiratory diseases,Adult respiratory distress syndrome,J80,65-74,343,343,NA,722604
By Year,2020,-1,Tennessee,Respiratory diseases,Adult respiratory distress syndrome,J80,75-84,148,148,NA,340538
By Year,2021,-1,Tennessee,Respiratory diseases,Adult respiratory distress syndrome,J80,75-84,195,195,NA,346961
By Year,2020,-1,Tennessee,Respiratory diseases,Adult respiratory distress syndrome,J80,85+,52,52,NA,119967
By Year,2021,-1,Tennessee,Respiratory diseases,Adult respiratory distress syndrome,J80,85+,39,39,NA,119483
By Year,2020,-1,Tennessee,Respiratory diseases,Adult respiratory distress syndrome,J80,All Ages,612,612,NA,NA
By Year,2021,-1,Tennessee,Respiratory diseases,Adult respiratory distress syndrome,J80,All Ages,1223,1223,NA,NA
By Year,2020,-1,Tennessee,Respiratory diseases,Respiratory failure,J96,0-24,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,2163510
By Year,2021,-1,Tennessee,Respiratory diseases,Respiratory failure,J96,0-24,15,16,NA,2165500
By Year,2020,-1,Tennessee,Respiratory diseases,Respiratory failure,J96,25-34,11,11,NA,950857
By Year,2021,-1,Tennessee,Respiratory diseases,Respiratory failure,J96,25-34,78,78,NA,959137
By Year,2020,-1,Tennessee,Respiratory diseases,Respiratory failure,J96,35-44,38,38,NA,867058
By Year,2021,-1,Tennessee,Respiratory diseases,Respiratory failure,J96,35-44,243,246,NA,877861
By Year,2020,-1,Tennessee,Respiratory diseases,Respiratory failure,J96,45-54,170,176,NA,875534
By Year,2021,-1,Tennessee,Respiratory diseases,Respiratory failure,J96,45-54,637,650,NA,868813
By Year,2020,-1,Tennessee,Respiratory diseases,Respiratory failure,J96,55-64,446,464,NA,907398
By Year,2021,-1,Tennessee,Respiratory diseases,Respiratory failure,J96,55-64,1209,1240,NA,907992
By Year,2020,-1,Tennessee,Respiratory diseases,Respiratory failure,J96,65-74,877,902,NA,700757
By Year,2021,-1,Tennessee,Respiratory diseases,Respiratory failure,J96,65-74,1685,1748,NA,722604
By Year,2020,-1,Tennessee,Respiratory diseases,Respiratory failure,J96,75-84,972,1015,NA,340538
By Year,2021,-1,Tennessee,Respiratory diseases,Respiratory failure,J96,75-84,1397,1461,NA,346961
By Year,2020,-1,Tennessee,Respiratory diseases,Respiratory failure,J96,85+,669,690,NA,119967
By Year,2021,-1,Tennessee,Respiratory diseases,Respiratory failure,J96,85+,718,741,NA,119483
By Year,2020,-1,Tennessee,Respiratory diseases,Respiratory failure,J96,All Ages,3185,3298,NA,NA
By Year,2021,-1,Tennessee,Respiratory diseases,Respiratory failure,J96,All Ages,5982,6180,NA,NA
By Year,2020,-1,Tennessee,Respiratory diseases,Respiratory arrest,R09.2,0-24,0,0,NA,2163510
By Year,2021,-1,Tennessee,Respiratory diseases,Respiratory arrest,R09.2,0-24,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,2165500
By Year,2020,-1,Tennessee,Respiratory diseases,Respiratory arrest,R09.2,25-34,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,950857
By Year,2021,-1,Tennessee,Respiratory diseases,Respiratory arrest,R09.2,25-34,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,959137
By Year,2020,-1,Tennessee,Respiratory diseases,Respiratory arrest,R09.2,35-44,0,0,NA,867058
By Year,2021,-1,Tennessee,Respiratory diseases,Respiratory arrest,R09.2,35-44,12,12,NA,877861
By Year,2020,-1,Tennessee,Respiratory diseases,Respiratory arrest,R09.2,45-54,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,875534
By Year,2021,-1,Tennessee,Respiratory diseases,Respiratory arrest,R09.2,45-54,21,21,NA,868813
By Year,2020,-1,Tennessee,Respiratory diseases,Respiratory arrest,R09.2,55-64,12,12,NA,907398
By Year,2021,-1,Tennessee,Respiratory diseases,Respiratory arrest,R09.2,55-64,32,32,NA,907992
By Year,2020,-1,Tennessee,Respiratory diseases,Respiratory arrest,R09.2,65-74,23,23,NA,700757
By Year,2021,-1,Tennessee,Respiratory diseases,Respiratory arrest,R09.2,65-74,44,44,NA,722604
By Year,2020,-1,Tennessee,Respiratory diseases,Respiratory arrest,R09.2,75-84,35,35,NA,340538
By Year,2021,-1,Tennessee,Respiratory diseases,Respiratory arrest,R09.2,75-84,48,48,NA,346961
By Year,2020,-1,Tennessee,Respiratory diseases,Respiratory arrest,R09.2,85+,33,33,NA,119967
By Year,2021,-1,Tennessee,Respiratory diseases,Respiratory arrest,R09.2,85+,29,29,NA,119483
By Year,2020,-1,Tennessee,Respiratory diseases,Respiratory arrest,R09.2,All Ages,110,110,NA,NA
By Year,2021,-1,Tennessee,Respiratory diseases,Respiratory arrest,R09.2,All Ages,194,194,NA,NA
By Year,2020,-1,Tennessee,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",0-24,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,2163510
By Year,2021,-1,Tennessee,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",0-24,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,2165500
By Year,2020,-1,Tennessee,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",25-34,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,950857
By Year,2021,-1,Tennessee,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",25-34,14,16,NA,959137
By Year,2020,-1,Tennessee,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",35-44,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,867058
By Year,2021,-1,Tennessee,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",35-44,33,36,NA,877861
By Year,2020,-1,Tennessee,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",45-54,19,20,NA,875534
By Year,2021,-1,Tennessee,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",45-54,78,86,NA,868813
By Year,2020,-1,Tennessee,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",55-64,36,38,NA,907398
By Year,2021,-1,Tennessee,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",55-64,149,166,NA,907992
By Year,2020,-1,Tennessee,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",65-74,108,115,NA,700757
By Year,2021,-1,Tennessee,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",65-74,206,222,NA,722604
By Year,2020,-1,Tennessee,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",75-84,112,116,NA,340538
