"Group","Year","Month","State","Condition.Group","Condition","ICD10_codes","Age.Group","COVID.19.Deaths","Number.of.Mentions","Flag"
"By Year",2021,-1,"Oklahoma","Alzheimer disease","Alzheimer disease","G30","45-54",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"Oklahoma","Alzheimer disease","Alzheimer disease","G30","55-64",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"Oklahoma","Alzheimer disease","Alzheimer disease","G30","55-64",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"Oklahoma","Alzheimer disease","Alzheimer disease","G30","65-74",34,34,""
"By Year",2021,-1,"Oklahoma","Alzheimer disease","Alzheimer disease","G30","65-74",18,18,""
"By Year",2020,-1,"Oklahoma","Alzheimer disease","Alzheimer disease","G30","75-84",96,96,""
"By Year",2021,-1,"Oklahoma","Alzheimer disease","Alzheimer disease","G30","75-84",84,84,""
"By Year",2020,-1,"Oklahoma","Alzheimer disease","Alzheimer disease","G30","85+",168,168,""
"By Year",2021,-1,"Oklahoma","Alzheimer disease","Alzheimer disease","G30","85+",108,108,""
"By Year",2020,-1,"Oklahoma","Alzheimer disease","Alzheimer disease","G30","All Ages",303,303,""
"By Year",2021,-1,"Oklahoma","Alzheimer disease","Alzheimer disease","G30","All Ages",216,216,""
"By Year",2020,-1,"Oklahoma","Vascular and unspecified dementia","Vascular and unspecified dementia","F01, F03","0-24",0,0,""
"By Year",2021,-1,"Oklahoma","Vascular and unspecified dementia","Vascular and unspecified dementia","F01, F03","0-24",0,0,""
"By Year",2020,-1,"Oklahoma","Vascular and unspecified dementia","Vascular and unspecified dementia","F01, F03","25-34",0,0,""
"By Year",2021,-1,"Oklahoma","Vascular and unspecified dementia","Vascular and unspecified dementia","F01, F03","25-34",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"Oklahoma","Vascular and unspecified dementia","Vascular and unspecified dementia","F01, F03","35-44",0,0,""
"By Year",2021,-1,"Oklahoma","Vascular and unspecified dementia","Vascular and unspecified dementia","F01, F03","35-44",0,0,""
"By Year",2020,-1,"Oklahoma","Vascular and unspecified dementia","Vascular and unspecified dementia","F01, F03","45-54",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"Oklahoma","Vascular and unspecified dementia","Vascular and unspecified dementia","F01, F03","45-54",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"Oklahoma","Vascular and unspecified dementia","Vascular and unspecified dementia","F01, F03","55-64",12,12,""
"By Year",2021,-1,"Oklahoma","Vascular and unspecified dementia","Vascular and unspecified dementia","F01, F03","55-64",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"Oklahoma","Vascular and unspecified dementia","Vascular and unspecified dementia","F01, F03","65-74",80,81,""
"By Year",2021,-1,"Oklahoma","Vascular and unspecified dementia","Vascular and unspecified dementia","F01, F03","65-74",65,65,""
"By Year",2020,-1,"Oklahoma","Vascular and unspecified dementia","Vascular and unspecified dementia","F01, F03","75-84",203,204,""
"By Year",2021,-1,"Oklahoma","Vascular and unspecified dementia","Vascular and unspecified dementia","F01, F03","75-84",179,179,""
"By Year",2020,-1,"Oklahoma","Vascular and unspecified dementia","Vascular and unspecified dementia","F01, F03","85+",344,344,""
"By Year",2021,-1,"Oklahoma","Vascular and unspecified dementia","Vascular and unspecified dementia","F01, F03","85+",263,263,""
"By Year",2020,-1,"Oklahoma","Vascular and unspecified dementia","Vascular and unspecified dementia","F01, F03","All Ages",641,643,""
"By Year",2021,-1,"Oklahoma","Vascular and unspecified dementia","Vascular and unspecified dementia","F01, F03","All Ages",517,517,""
"By Year",2020,-1,"Oklahoma","Renal failure","Renal failure","N17-N19","0-24",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"Oklahoma","Renal failure","Renal failure","N17-N19","0-24",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"Oklahoma","Renal failure","Renal failure","N17-N19","25-34",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"Oklahoma","Renal failure","Renal failure","N17-N19","25-34",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"Oklahoma","Renal failure","Renal failure","N17-N19","35-44",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"Oklahoma","Renal failure","Renal failure","N17-N19","35-44",29,29,""
"By Year",2020,-1,"Oklahoma","Renal failure","Renal failure","N17-N19","45-54",21,23,""
"By Year",2021,-1,"Oklahoma","Renal failure","Renal failure","N17-N19","45-54",70,71,""
"By Year",2020,-1,"Oklahoma","Renal failure","Renal failure","N17-N19","55-64",56,59,""
"By Year",2021,-1,"Oklahoma","Renal failure","Renal failure","N17-N19","55-64",159,162,""
"By Year",2020,-1,"Oklahoma","Renal failure","Renal failure","N17-N19","65-74",112,113,""
"By Year",2021,-1,"Oklahoma","Renal failure","Renal failure","N17-N19","65-74",229,240,""
"By Year",2020,-1,"Oklahoma","Renal failure","Renal failure","N17-N19","75-84",148,158,""
"By Year",2021,-1,"Oklahoma","Renal failure","Renal failure","N17-N19","75-84",225,235,""
"By Year",2020,-1,"Oklahoma","Renal failure","Renal failure","N17-N19","85+",142,146,""
"By Year",2021,-1,"Oklahoma","Renal failure","Renal failure","N17-N19","85+",175,180,""
"By Year",2020,-1,"Oklahoma","Renal failure","Renal failure","N17-N19","All Ages",489,509,""
"By Year",2021,-1,"Oklahoma","Renal failure","Renal failure","N17-N19","All Ages",900,930,""
"By Year",2020,-1,"Oklahoma","Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03","0-24",0,0,""
"By Year",2021,-1,"Oklahoma","Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03","0-24",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"Oklahoma","Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03","25-34",5,16,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"Oklahoma","Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03","25-34",5,21,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"Oklahoma","Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03","35-44",5,10,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"Oklahoma","Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03","35-44",12,32,""
"By Year",2020,-1,"Oklahoma","Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03","45-54",12,23,""
"By Year",2021,-1,"Oklahoma","Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03","45-54",23,48,""
"By Year",2020,-1,"Oklahoma","Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03","55-64",15,32,""
"By Year",2021,-1,"Oklahoma","Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03","55-64",27,57,""
"By Year",2020,-1,"Oklahoma","Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03","65-74",23,44,""
"By Year",2021,-1,"Oklahoma","Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03","65-74",61,109,""
"By Year",2020,-1,"Oklahoma","Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03","75-84",34,70,""
"By Year",2021,-1,"Oklahoma","Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03","75-84",49,91,""
"By Year",2020,-1,"Oklahoma","Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03","85+",34,72,""
"By Year",2021,-1,"Oklahoma","Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03","85+",62,131,""
"By Year",2020,-1,"Oklahoma","Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03","All Ages",127,267,""
"By Year",2021,-1,"Oklahoma","Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03","All Ages",245,497,""
"By Year",2020,-1,"Oklahoma","All other conditions and causes (residual)","All other conditions and causes (residual)","A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99","0-24",5,15,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"Oklahoma","All other conditions and causes (residual)","All other conditions and causes (residual)","A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99","0-24",29,52,""
"By Year",2020,-1,"Oklahoma","All other conditions and causes (residual)","All other conditions and causes (residual)","A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99","25-34",15,30,""
"By Year",2021,-1,"Oklahoma","All other conditions and causes (residual)","All other conditions and causes (residual)","A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99","25-34",49,76,""
"By Year",2020,-1,"Oklahoma","All other conditions and causes (residual)","All other conditions and causes (residual)","A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99","35-44",39,53,""
"By Year",2021,-1,"Oklahoma","All other conditions and causes (residual)","All other conditions and causes (residual)","A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99","35-44",141,216,""
"By Year",2020,-1,"Oklahoma","All other conditions and causes (residual)","All other conditions and causes (residual)","A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99","45-54",113,184,""
"By Year",2021,-1,"Oklahoma","All other conditions and causes (residual)","All other conditions and causes (residual)","A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99","45-54",330,538,""
"By Year",2020,-1,"Oklahoma","All other conditions and causes (residual)","All other conditions and causes (residual)","A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99","55-64",251,407,""
"By Year",2021,-1,"Oklahoma","All other conditions and causes (residual)","All other conditions and causes (residual)","A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99","55-64",637,1020,""
"By Year",2020,-1,"Oklahoma","All other conditions and causes (residual)","All other conditions and causes (residual)","A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99","65-74",540,876,""
"By Year",2021,-1,"Oklahoma","All other conditions and causes (residual)","All other conditions and causes (residual)","A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99","65-74",872,1359,""
"By Year",2020,-1,"Oklahoma","All other conditions and causes (residual)","All other conditions and causes (residual)","A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99","75-84",650,1003,""
"By Year",2021,-1,"Oklahoma","All other conditions and causes (residual)","All other conditions and causes (residual)","A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99","75-84",868,1303,""
"By Year",2020,-1,"Oklahoma","All other conditions and causes (residual)","All other conditions and causes (residual)","A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99","85+",596,982,""
"By Year",2021,-1,"Oklahoma","All other conditions and causes (residual)","All other conditions and causes (residual)","A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99","85+",638,1003,""
"By Year",2020,-1,"Oklahoma","All other conditions and causes (residual)","All other conditions and causes (residual)","A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99","All Ages",2211,3550,""
"By Year",2021,-1,"Oklahoma","All other conditions and causes (residual)","All other conditions and causes (residual)","A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99","All Ages",3564,5567,""
"By Year",2020,-1,"Oklahoma","COVID-19","COVID-19","U071","0-24",10,10,""
"By Year",2021,-1,"Oklahoma","COVID-19","COVID-19","U071","0-24",50,50,""
"By Year",2020,-1,"Oklahoma","COVID-19","COVID-19","U071","25-34",33,33,""
"By Year",2021,-1,"Oklahoma","COVID-19","COVID-19","U071","25-34",118,118,""
"By Year",2020,-1,"Oklahoma","COVID-19","COVID-19","U071","35-44",87,87,""
"By Year",2021,-1,"Oklahoma","COVID-19","COVID-19","U071","35-44",326,326,""
"By Year",2020,-1,"Oklahoma","COVID-19","COVID-19","U071","45-54",239,239,""
"By Year",2021,-1,"Oklahoma","COVID-19","COVID-19","U071","45-54",748,748,""
"By Year",2020,-1,"Oklahoma","COVID-19","COVID-19","U071","55-64",617,617,""
"By Year",2021,-1,"Oklahoma","COVID-19","COVID-19","U071","55-64",1408,1408,""
"By Year",2020,-1,"Oklahoma","COVID-19","COVID-19","U071","65-74",1235,1235,""
"By Year",2021,-1,"Oklahoma","COVID-19","COVID-19","U071","65-74",1901,1901,""
"By Year",2020,-1,"Oklahoma","COVID-19","COVID-19","U071","75-84",1507,1507,""
"By Year",2021,-1,"Oklahoma","COVID-19","COVID-19","U071","75-84",1857,1857,""
"By Year",2020,-1,"Oklahoma","COVID-19","COVID-19","U071","85+",1520,1520,""
"By Year",2021,-1,"Oklahoma","COVID-19","COVID-19","U071","85+",1442,1442,""
"By Year",2020,-1,"Oklahoma","COVID-19","COVID-19","U071","All Ages",5248,5248,""
"By Year",2021,-1,"Oklahoma","COVID-19","COVID-19","U071","All Ages",7850,7850,""
"By Year",2020,-1,"Oregon","Respiratory diseases","Influenza and pneumonia","J09-J18","0-24",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"Oregon","Respiratory diseases","Influenza and pneumonia","J09-J18","0-24",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"Oregon","Respiratory diseases","Influenza and pneumonia","J09-J18","25-34",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"Oregon","Respiratory diseases","Influenza and pneumonia","J09-J18","25-34",12,13,""
"By Year",2020,-1,"Oregon","Respiratory diseases","Influenza and pneumonia","J09-J18","35-44",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"Oregon","Respiratory diseases","Influenza and pneumonia","J09-J18","35-44",63,70,""
"By Year",2020,-1,"Oregon","Respiratory diseases","Influenza and pneumonia","J09-J18","45-54",18,18,""
"By Year",2021,-1,"Oregon","Respiratory diseases","Influenza and pneumonia","J09-J18","45-54",149,176,""
"By Year",2020,-1,"Oregon","Respiratory diseases","Influenza and pneumonia","J09-J18","55-64",54,58,""
"By Year",2021,-1,"Oregon","Respiratory diseases","Influenza and pneumonia","J09-J18","55-64",351,389,""
"By Year",2020,-1,"Oregon","Respiratory diseases","Influenza and pneumonia","J09-J18","65-74",119,125,""
"By Year",2021,-1,"Oregon","Respiratory diseases","Influenza and pneumonia","J09-J18","65-74",439,479,""
"By Year",2020,-1,"Oregon","Respiratory diseases","Influenza and pneumonia","J09-J18","75-84",147,151,""
"By Year",2021,-1,"Oregon","Respiratory diseases","Influenza and pneumonia","J09-J18","75-84",413,428,""
"By Year",2020,-1,"Oregon","Respiratory diseases","Influenza and pneumonia","J09-J18","85+",140,142,""
"By Year",2021,-1,"Oregon","Respiratory diseases","Influenza and pneumonia","J09-J18","85+",341,352,""
"By Year",2020,-1,"Oregon","Respiratory diseases","Influenza and pneumonia","J09-J18","All Ages",488,507,""
"By Year",2021,-1,"Oregon","Respiratory diseases","Influenza and pneumonia","J09-J18","All Ages",1772,1914,""
"By Year",2020,-1,"Oregon","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","0-24",0,0,""
"By Year",2021,-1,"Oregon","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","0-24",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"Oregon","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","25-34",0,0,""
"By Year",2021,-1,"Oregon","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","25-34",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"Oregon","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","35-44",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"Oregon","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","35-44",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"Oregon","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","45-54",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"Oregon","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","45-54",13,14,""
"By Year",2020,-1,"Oregon","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","55-64",14,16,""
"By Year",2021,-1,"Oregon","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","55-64",50,53,""
"By Year",2020,-1,"Oregon","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","65-74",38,40,""
"By Year",2021,-1,"Oregon","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","65-74",127,129,""
"By Year",2020,-1,"Oregon","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","75-84",64,65,""
"By Year",2021,-1,"Oregon","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","75-84",152,156,""
"By Year",2020,-1,"Oregon","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","85+",55,57,""
"By Year",2021,-1,"Oregon","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","85+",100,101,""
"By Year",2020,-1,"Oregon","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","All Ages",173,181,""
"By Year",2021,-1,"Oregon","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","All Ages",454,465,""
"By Year",2020,-1,"Oregon","Respiratory diseases","Adult respiratory distress syndrome","J80","0-24",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"Oregon","Respiratory diseases","Adult respiratory distress syndrome","J80","0-24",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"Oregon","Respiratory diseases","Adult respiratory distress syndrome","J80","25-34",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"Oregon","Respiratory diseases","Adult respiratory distress syndrome","J80","25-34",12,12,""
"By Year",2020,-1,"Oregon","Respiratory diseases","Adult respiratory distress syndrome","J80","35-44",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"Oregon","Respiratory diseases","Adult respiratory distress syndrome","J80","35-44",44,44,""
"By Year",2020,-1,"Oregon","Respiratory diseases","Adult respiratory distress syndrome","J80","45-54",12,12,""
"By Year",2021,-1,"Oregon","Respiratory diseases","Adult respiratory distress syndrome","J80","45-54",94,94,""
"By Year",2020,-1,"Oregon","Respiratory diseases","Adult respiratory distress syndrome","J80","55-64",38,38,""
"By Year",2021,-1,"Oregon","Respiratory diseases","Adult respiratory distress syndrome","J80","55-64",154,154,""
"By Year",2020,-1,"Oregon","Respiratory diseases","Adult respiratory distress syndrome","J80","65-74",40,40,""
"By Year",2021,-1,"Oregon","Respiratory diseases","Adult respiratory distress syndrome","J80","65-74",164,164,""
"By Year",2020,-1,"Oregon","Respiratory diseases","Adult respiratory distress syndrome","J80","75-84",33,33,""
"By Year",2021,-1,"Oregon","Respiratory diseases","Adult respiratory distress syndrome","J80","75-84",58,58,""
"By Year",2020,-1,"Oregon","Respiratory diseases","Adult respiratory distress syndrome","J80","85+",12,12,""
"By Year",2021,-1,"Oregon","Respiratory diseases","Adult respiratory distress syndrome","J80","85+",13,13,""
"By Year",2020,-1,"Oregon","Respiratory diseases","Adult respiratory distress syndrome","J80","All Ages",143,143,""
"By Year",2021,-1,"Oregon","Respiratory diseases","Adult respiratory distress syndrome","J80","All Ages",541,541,""
"By Year",2020,-1,"Oregon","Respiratory diseases","Respiratory failure","J96","0-24",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"Oregon","Respiratory diseases","Respiratory failure","J96","0-24",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2020,-1,"Oregon","Respiratory diseases","Respiratory failure","J96","25-34",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"Oregon","Respiratory diseases","Respiratory failure","J96","25-34",16,16,""
"By Year",2020,-1,"Oregon","Respiratory diseases","Respiratory failure","J96","35-44",5,NA,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"By Year",2021,-1,"Oregon","Respiratory diseases","Respiratory failure","J96","35-44",51,53,""
"By Year",2020,-1,"Oregon","Respiratory diseases","Respiratory failure","J96","45-54",10,10,""
"By Year",2021,-1,"Oregon","Respiratory diseases","Respiratory failure","J96","45-54",132,135,""
"By Year",2020,-1,"Oregon","Respiratory diseases","Respiratory failure","J96","55-64",48,50,""
"By Year",2021,-1,"Oregon","Respiratory diseases","Respiratory failure","J96","55-64",279,285,""
"By Year",2020,-1,"Oregon","Respiratory diseases","Respiratory failure","J96","65-74",82,86,""
"By Year",2021,-1,"Oregon","Respiratory diseases","Respiratory failure","J96","65-74",404,425,""
"By Year",2020,-1,"Oregon","Respiratory diseases","Respiratory failure","J96","75-84",148,152,""
"By Year",2021,-1,"Oregon","Respiratory diseases","Respiratory failure","J96","75-84",385,402,""
"By Year",2020,-1,"Oregon","Respiratory diseases","Respiratory failure","J96","85+",129,133,""
"By Year",2021,-1,"Oregon","Respiratory diseases","Respiratory failure","J96","85+",258,269,""
"By Year",2020,-1,"Oregon","Respiratory diseases","Respiratory failure","J96","All Ages",426,440,""
"By Year",2021,-1,"Oregon","Respiratory diseases","Respiratory failure","J96","All Ages",1531,1591,""
